식당명,식당주소,식당위도,식당경도
김해횟집,제주 제주시 용담로5길 25,33.51551804,126.5078531
까망돼지 서귀포점,제주특별자치도 서귀포시 일주동로 8524,33.25513672,126.5775117
까망돼지 중문점,제주특별자치도 서귀포시 색달중앙로 21,33.25740662,126.4134118
깡촌흑돼지 함덕본점,제주특별자치도 제주시 조천읍 함덕14길 2,33.54127438,126.6671355
꽁지식당,제주 제주시 고산동산5길 6,33.49562383,126.5338158
꽃가람 제주성산일출봉점,제주특별자치도 서귀포시 성산읍 고성동서로 73,33.45090459,126.9149664
꽃가마,제주특별자치도 제주시 신산로 97,33.505441,126.535911
꽃길국수 공항본점,제주특별자치도 제주시 서해안로 648,33.5161957,126.506126
꽃담수제버거,제주 서귀포시 성산읍 일출로 284-7,33.46297091,126.9360128
꽃밥,제주특별자치도 제주시 애월읍 일주서로 6059,33.451512,126.3085038
나라돈까스,제주 제주시 외도1동 450-6,33.49079493,126.4317628
나원회포차,제주 서귀포시 동문동로 2,33.24966662,126.5675962
난드르바당,제주 서귀포시 하예하동로16번길 11-1,33.23456106,126.3709745
남경미락,제주 서귀포시 안덕면 사계남로 190-7,33.23018935,126.3088992
남원식당,제주 제주시 서광로3길 6,33.50060224,126.5135329
남원흑돼지연탄골목,제주 서귀포시 남원읍 태위로495번길 7,33.2757908,126.7000871
남춘식당,제주특별자치도 제주시 청귤로 12,33.49965544,126.5375111
남호식당,제주 서귀포시 김정문화로 7,33.25252388,126.5054717
낭만팥집,제주 서귀포시 동홍서로96번길 17,33.25742828,126.571408
낭쿰낭쿰 올레시장본점,제주특별자치도 서귀포시 중앙로79번길 4,33.2517318,126.5607513
너븐,제주 서귀포시 칠십리로214번길 26,33.24538882,126.5742971
넉둥베기고사리육개장,제주특별자치도 제주시 서문로 9-1,33.50977059,126.5126309
네거리식당,제주 서귀포시 서문로29번길 20,33.24851576,126.5592881
노도 고등어회,제주특별자치도 제주시 서해안로 364,33.51076596,126.4839166
노라바,제주특별자치도 제주시 애월읍 구엄길 100,33.48279245,126.3763054
노조미,제주 제주시 국기로2길 2-3,33.47952132,126.4902347
노형삼대국수,제주특별자치도 제주시 노형동 3791-6,33.48273648,126.4787613
논짓물식당,제주특별자치도 제주시 성화로9길 10,33.51263016,126.5043812
누바비치,제주 서귀포시 대포로 148-15,33.23757909,126.4368359
누이밥집,제주 서귀포시 중산간서로 695,33.26288282,126.4408282
뉴욕버거 제주노형점,제주특별자치도 제주시 삼무로 26,33.48974608,126.4893052
늘봄흑돼지,제주 제주시 한라대학로 12,33.47947045,126.4728388
늘소담,제주 제주시 삼도2동 1192-12,33.51742185,126.5215115
니모메,제주특별자치도 제주시 일주서로 7335-8,33.49370123,126.4309214
다가미,제주 제주시 도남로 111,33.49045081,126.5286629
다니쉬,제주 제주시 조천읍 함덕16길 56,33.54212706,126.6636841
다다익고 신서귀포점,제주특별자치도 서귀포시 신중로 26-8,33.25469982,126.5077494
다다익고 정육식당 제주사수점,제주특별자치도 제주시 서해안로 317,33.50954634,126.4792313
다다익고 정육점식당 호텔더본점,제주특별자치도 서귀포시 색달로 25,33.26034348,126.4060644
다린,제주 서귀포시 법환로 11,33.23646798,126.5138881
다올국수,제주 서귀포시 중정로91번길 18,33.2497635,126.5650514
다정이네 올레시장 본점,제주특별자치도 서귀포시 동문로 59-1,33.24938989,126.5668119
다정이네김밥 서귀포신시가지점,제주특별자치도 서귀포시 이어도로 796,33.23637633,126.5001368
닥그네할망,제주 제주시 신성로10길 18,33.49527197,126.529991
담백 함덕점,제주특별자치도 제주시 조천읍 함덕19길 9,33.54130829,126.6700348
당당,제주 제주시 애월읍 중엄안1길 25,33.47443973,126.3708883
당케올레국수,제주 서귀포시 표선면 민속해안로 584,33.32524691,126.8434432
대금식당,제주 제주시 한림읍 옹포1길 6,33.40252171,126.2509642
대기정,제주 서귀포시 이어도로 41,33.2402786,126.4285478
대도식당,제주 서귀포시 솔동산로22번길 18,33.24399058,126.5624848
대도식당 연동점,제주특별자치도 제주시 은남길 31,33.48700773,126.4958601
대문집,제주  제주시  한림읍  한림로  484 대문집,33.40268735,126.2518423
대봉식당,제주 제주시 일주서로 7330,33.49270625,126.4303403
대우정,제주 서귀포시 이어도로 866-37,33.23313923,126.5069602
대춘해장국 노형점,제주특별자치도 제주시 원노형로 11,33.48761692,126.484395
대춘해장국 시청점,제주특별자치도 제주시 동광로2길 9-1,33.50062259,126.5309672
대포칼제비,제주 서귀포시 중문관광로 338,33.25023287,126.43146
대풍해장국,제주특별자치도 제주시 삼봉로 39,33.51784445,126.5889941
더놀맨,제주특별자치도 제주시 애월읍 곽지1길 22,33.44818515,126.3044756
더비치크랩 제주공항점,제주특별자치도 제주시 동한두기길 31,33.5167817,126.515247
더웨이팅,제주특별자치도 서귀포시 표선면 표선동서로 147,33.31762477,126.8288497
더클리프,제주 서귀포시 중문관광로 154-17,33.24479442,126.417791
더힐링타임,제주특별자치도 제주시 서해안로 652,33.51597926,126.5065632
덕성식당,제주 서귀포시 안덕면 사계남로 145,33.22856472,126.3054548
덕승식당,제주 서귀포시 대정읍 하모항구로 66,33.21924229,126.2513706
덕인당보리빵 제주점,제주특별자치도 제주시 연삼로 180,33.49259147,126.5116641
덤장 중문점,제주특별자치도 서귀포시 천제연로 17,33.25773504,126.408134
델문도,제주특별자치도 제주시 조천읍 조함해안로 519-10,33.54370934,126.668724
도갈비,제주특별자치도 제주시 한라대학로 85,33.47646997,126.4793013
도두반점 호텔더본점,제주특별자치도 서귀포시 색달로 18,33.25939521,126.4066804
도두해녀의집,제주특별자치도 제주시 도두항길 16,33.50617758,126.4666285
도라지식당 제주공항본점,제주특별자치도 제주시 연삼로 128,33.49270854,126.5059441
도련님갈비,제주특별자치도 제주시 일주동로 375,33.52128187,126.5851028
도민상회본점 제주한림협재흑돼지,제주특별자치도 제주시 한림읍 한림로3길 8,33.41318997,126.2602064
도연식당,제주특별자치도 제주시 고마로18길 4,33.50448571,126.541024
도진식당,제주 제주시 국기중길 27,33.47905946,126.4922868
도토리키친 본점,제주특별자치도 제주시 북성로 59,33.51538651,126.5186043
독개물항 제주한림 협재 본점,제주특별자치도 제주시 한림읍 한림로 478,33.40189022,126.2516125
돈가,제주 제주시 문송길 36,33.48643851,126.4970868
돈덕이네,제주 서귀포시 성산읍 고성중앙로 41-8,33.44893989,126.9078324
돈물국수,제주 제주시 연무정동길 2,33.51401663,126.5353999
돈블럭,제주 서귀포시 천제연로 303,33.25142205,126.4371152
돈사돈 별관,제주특별자치도 제주시 광평동로 15,33.4817045,126.4707164
돈사돈 서귀포점,제주특별자치도 서귀포시 이어도로 778-1,33.23598989,126.4984342
돈사돈 중문점,제주특별자치도 서귀포시 중문동 1884-7,33.25079752,126.4330011
돈사향 올레시장본점,제주특별자치도 서귀포시 천지로 20,33.24934128,126.5609221
돈이랑,제주 서귀포시 일주서로 953,33.25770235,126.4090914
